[2022-07-08 01:19:08] Ora2Pg version: 23.1
[2022-07-08 01:19:08] Export type: SHOW_TABLE
[2022-07-08 01:19:08] Geometry export type: INTERNAL
[2022-07-08 01:19:08] ORACLE_HOME = /usr/local/oracle/10g
[2022-07-08 01:19:08] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2022-07-08 01:19:08] NLS_NCHAR = AL32UTF8
[2022-07-08 01:19:08] Trying to connect to database: dbi:Oracle:host=srv-dbora-03.whebdc.com.br;service_name=DEV_1810;port=1521
[2022-07-08 01:19:09] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2022-07-08 01:19:09] Showing table information...
[2022-07-08 01:20:16] Collecting 26408 tables in DBA_OBJECTS took: 67 wallclock secs ( 0.08 usr +  0.02 sys =  0.10 CPU)
[2022-07-08 01:21:41] Collecting 22920 tables information in DBA_TABLES took: 85 wallclock secs ( 0.21 usr +  0.02 sys =  0.23 CPU)
[2022-07-08 01:21:41] Retrieving column identity information...
[2022-07-08 01:22:26] Looking to subpartition information...
[2022-07-08 01:22:35] Looking to partitioned tables information...
[2022-07-08 01:22:40] Looking to external tables information...
[2022-07-08 01:22:40] [1] TABLE COMERCIAL.AAZF_MED (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6687] TABLE COMERCIAL.GEDIPA_REAPROVEITAMENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6688] TABLE COMERCIAL.GEDIPA_REGRA_COR (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6689] TABLE COMERCIAL.GEDI_MEDIC_ATEND (owner: COMERCIAL, 3857 rows)
[2022-07-08 01:22:50] [6690] TABLE COMERCIAL.GED_AGENDA (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6691] TABLE COMERCIAL.GED_ATENDIMENTO (owner: COMERCIAL, 20 rows)
[2022-07-08 01:22:50] [6692] TABLE COMERCIAL.GED_TIPO_ARQUIVO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:50] [6693] TABLE COMERCIAL.GEMEINDE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6694] TABLE COMERCIAL.GENDAT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6695] TABLE COMERCIAL.GENERIC_SUBSTANCE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6696] TABLE COMERCIAL.GENERO (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6697] TABLE COMERCIAL.GERAR_CD_COMPROV_CONTABIL (owner: COMERCIAL, 158 rows)
[2022-07-08 01:22:50] [6698] TABLE COMERCIAL.GERAR_CODIGO_CONTROL_HIST (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6699] TABLE COMERCIAL.GERAR_INF_CONVENIO_AGENDA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6700] TABLE COMERCIAL.GERAR_SOLIC_PRONT_REGRA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6701] TABLE COMERCIAL.GERCON_EVENTO_INTEGRACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6702] TABLE COMERCIAL.GERCON_LOTE_IMP (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6703] TABLE COMERCIAL.GERCON_LOTE_IMP_AGENDA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6704] TABLE COMERCIAL.GERCON_SOLIC_CONSULTA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6705] TABLE COMERCIAL.GERENCIA_ABC_CLIENTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6706] TABLE COMERCIAL.GERENCIA_S_CLIENTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6707] TABLE COMERCIAL.GERENCIA_WHEB (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:50] [6708] TABLE COMERCIAL.GERENCIA_WHEB_GRUPO (owner: COMERCIAL, 11 rows)
[2022-07-08 01:22:50] [6709] TABLE COMERCIAL.GERENCIA_WHEB_GRUPO_USU (owner: COMERCIAL, 10 rows)
[2022-07-08 01:22:50] [6710] TABLE COMERCIAL.GERENC_INTEG_DIXTAL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6711] TABLE COMERCIAL.GERENC_INTEG_HEMOTERAPIA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6712] TABLE COMERCIAL.GERENC_INTEG_RIS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6713] TABLE COMERCIAL.GERINT_CONSULTA_SOLIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6714] TABLE COMERCIAL.GERINT_EVENTO_INTEGRACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6715] TABLE COMERCIAL.GERINT_EVENTO_INT_DADOS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6716] TABLE COMERCIAL.GERINT_SOLIC_EXECUTANTE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6717] TABLE COMERCIAL.GERINT_SOLIC_INTERNACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6718] TABLE COMERCIAL.GER_CARGA_ARQ (owner: COMERCIAL, 11 rows)
[2022-07-08 01:22:50] [6719] TABLE COMERCIAL.GER_CARGA_INICIAL (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6720] TABLE COMERCIAL.GER_CARGA_LOG_IMPORT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6721] TABLE COMERCIAL.GER_IMP_XML (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6722] TABLE COMERCIAL.GER_SKILL_DESENV (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6723] TABLE COMERCIAL.GER_TIPO_CARGA (owner: COMERCIAL, 21 rows)
[2022-07-08 01:22:50] [6724] TABLE COMERCIAL.GER_TIPO_CARGA_ARQ (owner: COMERCIAL, 47 rows)
[2022-07-08 01:22:50] [6725] TABLE COMERCIAL.GER_TIPO_CARGA_CAMPO (owner: COMERCIAL, 1345 rows)
[2022-07-08 01:22:50] [6726] TABLE COMERCIAL.GESTAO_ALERTA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6727] TABLE COMERCIAL.GESTAO_DOCUMENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6728] TABLE COMERCIAL.GESTAO_DOC_ITEM (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6729] TABLE COMERCIAL.GESTAO_ESTOQUE (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:50] [6730] TABLE COMERCIAL.GESTAO_EXAME_W (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6731] TABLE COMERCIAL.GESTAO_MIGRACAO (owner: COMERCIAL, 5485 rows)
[2022-07-08 01:22:50] [6732] TABLE COMERCIAL.GESTAO_TRANSPORTE_HIST_OBS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6733] TABLE COMERCIAL.GESTAO_TRANSP_OBSERVACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6734] TABLE COMERCIAL.GESTAO_VAGA (owner: COMERCIAL, 870 rows)
[2022-07-08 01:22:50] [6735] TABLE COMERCIAL.GESTAO_VAGA_ANEXO (owner: COMERCIAL, 20 rows)
[2022-07-08 01:22:50] [6736] TABLE COMERCIAL.GESTAO_VAGA_BIOBANCO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:50] [6737] TABLE COMERCIAL.GESTAO_VAGA_EMAIL (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6738] TABLE COMERCIAL.GESTAO_VAGA_HIST (owner: COMERCIAL, 62 rows)
[2022-07-08 01:22:50] [6739] TABLE COMERCIAL.GESTAO_VAGA_HIST_STATUS (owner: COMERCIAL, 753 rows)
[2022-07-08 01:22:50] [6740] TABLE COMERCIAL.GESTAO_VAGA_MOTIVO_CANC (owner: COMERCIAL, 10 rows)
[2022-07-08 01:22:50] [6741] TABLE COMERCIAL.GESTAO_VAGA_MOTIVO_HIST (owner: COMERCIAL, 9 rows)
[2022-07-08 01:22:50] [6742] TABLE COMERCIAL.GESTAO_VAGA_PROC (owner: COMERCIAL, 21 rows)
[2022-07-08 01:22:50] [6743] TABLE COMERCIAL.GESTAO_VAGA_PROTOCOLO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:50] [6744] TABLE COMERCIAL.GESTAO_VAGA_STATUS (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:50] [6745] TABLE COMERCIAL.GESTAO_VAGA_STATUS_PAC (owner: COMERCIAL, 11 rows)
[2022-07-08 01:22:50] [6746] TABLE COMERCIAL.GESTAO_VAGA_TEXTO_PADRAO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:50] [6747] TABLE COMERCIAL.GEST_CONS_HORARIOS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6748] TABLE COMERCIAL.GE_ALERTA_EVENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6749] TABLE COMERCIAL.GE_ALERTA_EVENTO_APLIC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6750] TABLE COMERCIAL.GE_ALERTA_EVENTO_RESTR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6751] TABLE COMERCIAL.GE_ALERTA_GERADO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6752] TABLE COMERCIAL.GLASS_QUEUE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6753] TABLE COMERCIAL.GLOBAL_RISK_CLASSIFICATION (owner: COMERCIAL, 16 rows)
[2022-07-08 01:22:50] [6754] TABLE COMERCIAL.GLOBAL_SETTINGS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6755] TABLE COMERCIAL.GMDAT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6756] TABLE COMERCIAL.GPI_ATA_ATIVIDADE (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:50] [6757] TABLE COMERCIAL.GPI_CRONOGRAMA (owner: COMERCIAL, 14 rows)
[2022-07-08 01:22:50] [6758] TABLE COMERCIAL.GPI_CRON_CALENDARIO (owner: COMERCIAL, 12 rows)
[2022-07-08 01:22:50] [6759] TABLE COMERCIAL.GPI_CRON_ESTRUT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6760] TABLE COMERCIAL.GPI_CRON_ETAPA (owner: COMERCIAL, 4098 rows)
[2022-07-08 01:22:50] [6761] TABLE COMERCIAL.GPI_CRON_ETAPA_COMENT (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:50] [6762] TABLE COMERCIAL.GPI_CRON_ETAPA_EQUIPE (owner: COMERCIAL, 14 rows)
[2022-07-08 01:22:50] [6763] TABLE COMERCIAL.GPI_CRON_EXCESSAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6764] TABLE COMERCIAL.GPI_CRON_REGRA_AVISO (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:50] [6765] TABLE COMERCIAL.GPI_ESTAGIO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:22:50] [6766] TABLE COMERCIAL.GPI_ESTRUTURA (owner: COMERCIAL, 43 rows)
[2022-07-08 01:22:50] [6767] TABLE COMERCIAL.GPI_ESTRUTURA_GRUPO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6768] TABLE COMERCIAL.GPI_ESTRUT_PROJ_LIB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6769] TABLE COMERCIAL.GPI_ESTUDO_VIAB (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6770] TABLE COMERCIAL.GPI_ESTUDO_VIAB_PER (owner: COMERCIAL, 78 rows)
[2022-07-08 01:22:50] [6771] TABLE COMERCIAL.GPI_INFORMACAO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:22:50] [6772] TABLE COMERCIAL.GPI_INF_RESP_APROV (owner: COMERCIAL, 11 rows)
[2022-07-08 01:22:50] [6773] TABLE COMERCIAL.GPI_LIB_ESTAGIO (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6774] TABLE COMERCIAL.GPI_LOG_DATA (owner: COMERCIAL, 28 rows)
[2022-07-08 01:22:50] [6775] TABLE COMERCIAL.GPI_LOG_ESTAGIO (owner: COMERCIAL, 8 rows)
[2022-07-08 01:22:50] [6776] TABLE COMERCIAL.GPI_LOG_REALIZADO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6777] TABLE COMERCIAL.GPI_MOTIVO_ALT_DATA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6778] TABLE COMERCIAL.GPI_ORCAMENTO (owner: COMERCIAL, 13 rows)
[2022-07-08 01:22:50] [6779] TABLE COMERCIAL.GPI_ORC_ITEM (owner: COMERCIAL, 45 rows)
[2022-07-08 01:22:50] [6780] TABLE COMERCIAL.GPI_ORC_ITEM_REAL_DOC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6781] TABLE COMERCIAL.GPI_PLANO (owner: COMERCIAL, 33 rows)
[2022-07-08 01:22:50] [6782] TABLE COMERCIAL.GPI_PORTE_PROJETO (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:50] [6783] TABLE COMERCIAL.GPI_PROJETO (owner: COMERCIAL, 11 rows)
[2022-07-08 01:22:50] [6784] TABLE COMERCIAL.GPI_PROJETO_ALT (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6785] TABLE COMERCIAL.GPI_PROJETO_AVAL (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:50] [6786] TABLE COMERCIAL.GPI_PROJETO_AVAL_RESULT (owner: COMERCIAL, 14 rows)
[2022-07-08 01:22:50] [6787] TABLE COMERCIAL.GPI_PROJETO_DOC (owner: COMERCIAL, 15 rows)
[2022-07-08 01:22:50] [6788] TABLE COMERCIAL.GPI_PROJETO_HIST (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6789] TABLE COMERCIAL.GPI_PROJ_BSC_INDICADOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6790] TABLE COMERCIAL.GPI_PROJ_CLASSIF (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:50] [6791] TABLE COMERCIAL.GPI_PROJ_ENVIO (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:50] [6792] TABLE COMERCIAL.GPI_PROJ_EQUIPE (owner: COMERCIAL, 20 rows)
[2022-07-08 01:22:50] [6793] TABLE COMERCIAL.GPI_PROJ_EQUIPE_MEMBRO (owner: COMERCIAL, 42 rows)
[2022-07-08 01:22:50] [6794] TABLE COMERCIAL.GPI_REGRA_LIB_CLASSIF (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:50] [6795] TABLE COMERCIAL.GPI_REGRA_LOG_DATA (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6796] TABLE COMERCIAL.GPI_REGRA_PLANO (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:50] [6797] TABLE COMERCIAL.GPI_RESP_PROJETO (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6798] TABLE COMERCIAL.GPI_RISCO_ETAPA (owner: COMERCIAL, 13 rows)
[2022-07-08 01:22:50] [6799] TABLE COMERCIAL.GPI_RISCO_HIST (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:50] [6800] TABLE COMERCIAL.GPI_RISCO_PROJETO (owner: COMERCIAL, 12 rows)
[2022-07-08 01:22:50] [6801] TABLE COMERCIAL.GPI_TIPO_DOCUMENTO (owner: COMERCIAL, 12 rows)
[2022-07-08 01:22:50] [6802] TABLE COMERCIAL.GPI_TIPO_ETAPA (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:50] [6803] TABLE COMERCIAL.GPI_TIPO_ETAPA_PROJ (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6804] TABLE COMERCIAL.GPI_TIPO_HISTORICO (owner: COMERCIAL, 23 rows)
[2022-07-08 01:22:50] [6805] TABLE COMERCIAL.GPI_TIPO_INFORMACAO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6806] TABLE COMERCIAL.GPI_TIPO_PROJETO (owner: COMERCIAL, 6 rows)
[2022-07-08 01:22:50] [6807] TABLE COMERCIAL.GPI_TIPO_PROJETO_LIB (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:50] [6808] TABLE COMERCIAL.GPI_TIPO_RISCO (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6809] TABLE COMERCIAL.GPR_RESPONSE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6810] TABLE COMERCIAL.GPS (owner: COMERCIAL, 19 rows)
[2022-07-08 01:22:50] [6811] TABLE COMERCIAL.GPS_TITULO (owner: COMERCIAL, 23 rows)
[2022-07-08 01:22:50] [6812] TABLE COMERCIAL.GPT_HIST_ANALISE_PLANO (owner: COMERCIAL, 85 rows)
[2022-07-08 01:22:50] [6813] TABLE COMERCIAL.GPT_HIST_ANALISE_PL_PRESC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6814] TABLE COMERCIAL.GPT_HIST_REVAL_EVENTS_DOC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6815] TABLE COMERCIAL.GPT_PRESENTATION_RULE (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6816] TABLE COMERCIAL.GPT_REAPRAZAR_HOR (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6817] TABLE COMERCIAL.GPT_REVALIDATION_EVENTS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6818] TABLE COMERCIAL.GPT_REVALIDATION_RULE (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:50] [6819] TABLE COMERCIAL.GPW_CLASSIFICACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6820] TABLE COMERCIAL.GPW_PENDENCIA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6821] TABLE COMERCIAL.GPW_PENDENCIA_CLASSIF (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6822] TABLE COMERCIAL.GPW_REGRA_GERACAO_OS (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6823] TABLE COMERCIAL.GPW_REGRA_GERACAO_OS_EXEC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6824] TABLE COMERCIAL.GQA_ACAO (owner: COMERCIAL, 101 rows)
[2022-07-08 01:22:50] [6825] TABLE COMERCIAL.GQA_ACAO_REGRA_PROF (owner: COMERCIAL, 107 rows)
[2022-07-08 01:22:50] [6826] TABLE COMERCIAL.GQA_ALERTA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6827] TABLE COMERCIAL.GQA_PENDENCIA (owner: COMERCIAL, 61 rows)
[2022-07-08 01:22:50] [6828] TABLE COMERCIAL.GQA_PENDENCIA_PAC (owner: COMERCIAL, 949 rows)
[2022-07-08 01:22:50] [6829] TABLE COMERCIAL.GQA_PENDENCIA_PROT_LIB (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:50] [6830] TABLE COMERCIAL.GQA_PENDENCIA_REGRA (owner: COMERCIAL, 95 rows)
[2022-07-08 01:22:50] [6831] TABLE COMERCIAL.GQA_PENDENCIA_REGRA_DOC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6832] TABLE COMERCIAL.GQA_PENDENCIA_REGRA_LIB (owner: COMERCIAL, 31 rows)
[2022-07-08 01:22:50] [6833] TABLE COMERCIAL.GQA_PENDENCIA_REGRA_MULT (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:50] [6834] TABLE COMERCIAL.GQA_PENDENCIA_REGRA_SQL (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:50] [6835] TABLE COMERCIAL.GQA_PENDENCIA_REGRA_TAG (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6836] TABLE COMERCIAL.GQA_PEND_JUSTIFICATIVA (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:50] [6837] TABLE COMERCIAL.GQA_PEND_JUSTIFICATIVA_LIB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6838] TABLE COMERCIAL.GQA_PEND_PAC_ACAO (owner: COMERCIAL, 1345 rows)
[2022-07-08 01:22:50] [6839] TABLE COMERCIAL.GQA_PEND_PAC_ACAO_DEST (owner: COMERCIAL, 1237 rows)
[2022-07-08 01:22:50] [6840] TABLE COMERCIAL.GQA_PROTOCOLO_ETAPA_PAC (owner: COMERCIAL, 59 rows)
[2022-07-08 01:22:50] [6841] TABLE COMERCIAL.GQA_PROTOCOLO_GER_RESUMO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6842] TABLE COMERCIAL.GQA_PROTOCOLO_MOV_PAC (owner: COMERCIAL, 40 rows)
[2022-07-08 01:22:50] [6843] TABLE COMERCIAL.GQA_PROTOCOLO_PAC (owner: COMERCIAL, 13 rows)
[2022-07-08 01:22:50] [6844] TABLE COMERCIAL.GQA_PROTOCOLO_RESUMO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6845] TABLE COMERCIAL.GRAFICO_DASHBOARD (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6846] TABLE COMERCIAL.GRAU_INSTRUCAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:50] [6847] TABLE COMERCIAL.GRAU_PARENTESCO (owner: COMERCIAL, 22 rows)
[2022-07-08 01:22:51] [6848] TABLE COMERCIAL.GRAU_PARENTESCO_BLOQUEIO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6849] TABLE COMERCIAL.GRG_PROC_PARTIC (owner: COMERCIAL, 75 rows)
[2022-07-08 01:22:51] [6850] TABLE COMERCIAL.GROUP_ROUTE (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:51] [6851] TABLE COMERCIAL.GRUPOS_DIETA_ROTINA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6852] TABLE COMERCIAL.GRUPO_ATIVIDADE_AGENDA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6853] TABLE COMERCIAL.GRUPO_ATRASO_CIRURGIA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:51] [6854] TABLE COMERCIAL.GRUPO_BANDEIRA_CR (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:51] [6855] TABLE COMERCIAL.GRUPO_BAND_CR_REGRA (owner: COMERCIAL, 2 rows)
[2022-07-08 01:22:51] [6856] TABLE COMERCIAL.GRUPO_COBRANCA (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:51] [6857] TABLE COMERCIAL.GRUPO_COBRANCA_MEMBRO (owner: COMERCIAL, 9 rows)
[2022-07-08 01:22:51] [6858] TABLE COMERCIAL.GRUPO_COBRANCA_META (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:51] [6859] TABLE COMERCIAL.GRUPO_DEP_PHILIPS (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:51] [6860] TABLE COMERCIAL.GRUPO_DESENVOLVIMENTO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:51] [6861] TABLE COMERCIAL.GRUPO_DES_DELEGACAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6862] TABLE COMERCIAL.GRUPO_DIAGNOSTICO_UTI (owner: COMERCIAL, 9 rows)
[2022-07-08 01:22:51] [6863] TABLE COMERCIAL.GRUPO_DIETA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6864] TABLE COMERCIAL.GRUPO_DIETA_ROTINA (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:51] [6865] TABLE COMERCIAL.GRUPO_DIF_FAT_EDICAO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6866] TABLE COMERCIAL.GRUPO_DIF_FAT_EDICAO_REGRA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6867] TABLE COMERCIAL.GRUPO_DOC_CIRURGIA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6868] TABLE COMERCIAL.GRUPO_DOC_CIRURGIA_PROC (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6869] TABLE COMERCIAL.GRUPO_EMPRESA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6870] TABLE COMERCIAL.GRUPO_EMP_ESTRUTURA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6871] TABLE COMERCIAL.GRUPO_ENV_ALERTA_EVENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6872] TABLE COMERCIAL.GRUPO_EQUIPAMENTO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6873] TABLE COMERCIAL.GRUPO_EQUIPAMENTO_CA (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6874] TABLE COMERCIAL.GRUPO_ESCALA_INDICE (owner: COMERCIAL, 31 rows)
[2022-07-08 01:22:51] [6875] TABLE COMERCIAL.GRUPO_ESCALA_INDICE_ITEM (owner: COMERCIAL, 348 rows)
[2022-07-08 01:22:51] [6876] TABLE COMERCIAL.GRUPO_ESCALA_INDICE_REGRA (owner: COMERCIAL, 21 rows)
[2022-07-08 01:22:51] [6877] TABLE COMERCIAL.GRUPO_ESCALA_ITEM_REGRA (owner: COMERCIAL, 9 rows)
[2022-07-08 01:22:51] [6878] TABLE COMERCIAL.GRUPO_ESPELHO (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6879] TABLE COMERCIAL.GRUPO_EXAME_LAB (owner: COMERCIAL, 20 rows)
[2022-07-08 01:22:51] [6880] TABLE COMERCIAL.GRUPO_EXAME_LAB_ROTINA (owner: COMERCIAL, 14 rows)
[2022-07-08 01:22:51] [6881] TABLE COMERCIAL.GRUPO_EXAME_ROTINA_LIB (owner: COMERCIAL, 7 rows)
[2022-07-08 01:22:51] [6882] TABLE COMERCIAL.GRUPO_FORMA_ENTREGA_LAUDO (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:51] [6883] TABLE COMERCIAL.GRUPO_GASOTERAPIA_ROTINA (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:51] [6884] TABLE COMERCIAL.GRUPO_GAS_ROTINA_LIB (owner: COMERCIAL, 0 rows)
[2022-07-08 01:22:51] [6885] TABLE COMERCIAL.GRUPO_GLOSA (owner: COMERCIAL, 1 rows)
[2022-07-08 01:22:51] [6886] TABLE COMERCIAL.GRUPO_IMP_LOTE_DISP (owner: COMERCIAL, 5 rows)
[2022-07-08 01:22:51] [6887] TABLE COMERCIAL.GRUPO_INDICACAO_ALBUMINA (owner: COMERCIAL, 4 rows)
[2022-07-08 01:22:51] [6888] TABLE COMERCIAL.GRUPO_INDICACAO_MEDIC (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:51] [6889] TABLE COMERCIAL.GRUPO_INTERRUPCAO_CIRURGIA (owner: COMERCIAL, 3 rows)
[2022-07-08 01:22:51] [6890] TABLE COMERCIAL.GRUPO_INTERVALO_PRESCR (owner: COMERCIAL, 10 rows)
[2022-07-08 01:22:51] [6891] TABLE COMERCIAL.GRUPO_INTERV_ENF (owner: COMERCIAL, 3 rows)
